Score,Host Name,Plan Name,CPU,Benchmark Version,Price per GB,Aikars Flags,Host Run/Provided,Dedicated/Shared Resources,Link to Submission
1465,Vultam Host,4GB Performance,AMD Ryzen 5950X,0.3.1,$3.50 USD,False,True,Shared,https://github.com/amnoah/Minecraft-Benchmark-Results/discussions/14
1323,Wepwawet,Creeper (Empty Node),AMD Ryzen 5950X,0.3.1,$2.45 USD,False,True,Dedicated,https://github.com/amnoah/Minecraft-Benchmark-Results/discussions/17
1246,Wepwawet,Creeper,AMD Ryzen 5950X,0.3.1,$2.45 USD,True,True,Dedicated,https://github.com/amnoah/Minecraft-Benchmark-Results/discussions/21
1144,BASELINE,Oracle VPS,Oracle ARM CPU,0.3.1,NA,False,False,Shared,https://github.com/amnoah/Minecraft-Benchmark-Results/discussions/27
1138,Folium Hosting,Skeleton,AMD Ryzen 3600,0.3.1,$0.95 USD,True,True,Dedicated,https://github.com/amnoah/Host-Benchmark-Results/discussions/34
477,FalixNodes,Free 4GB,AMD Ryzen 5950X,0.3.1,$0,False,False,Dedicated,https://github.com/amnoah/Minecraft-Benchmark-Results/discussions/30
